page,block,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
1,0,"Comprehensive Guide to Restaurants and Hotels in the South of France",12.00,7.39,370.66,68,72.00,83.88,442.66,91.27,true,false
1,1,"Introduction",12.00,7.39,67.72,12,72.00,109.02,139.72,116.41,true,false
1,2,"The South of France known for its stunning landscapes rich cultural heritage and exquisite cuisine is a dream destination for travelers. From the glamorous beaches of the French Riviera to the charming villages of Provence this region oﬀers a diverse array of experiences. Whether you're looking for budget-friendly options family-friendly spots upscale dining or luxurious experiences this guide will help you find the perfect restaurants and hotels for your trip.",12.00,92.88,467.84,465,72.00,133.98,539.84,226.86,false,false
1,3,"",12.00,8.19,3.34,0,72.00,244.62,75.34,252.81,false,false
1,4,"",12.00,7.38,2.77,0,216.00,244.62,218.77,252.00,false,false
2,0,"Restaurants",12.00,7.39,64.42,11,72.00,83.88,136.42,91.27,true,false
2,1,"Budget-Friendly Restaurants",12.00,7.39,151.00,27,72.00,109.02,223.00,116.41,true,false
2,2,"• Chez Pipo (Nice): Famous for its socca a traditional Niçoise chickpea pancake this casual eatery oﬀers delicious and aﬀordable local dishes. The rustic ambiance and friendly service make it a favorite among locals and tourists alike.",11.98,41.58,430.88,235,90.00,133.98,520.88,175.56,false,false
2,3,"• La Merenda (Nice): A small cozy restaurant serving authentic Niçoise cuisine. The",11.95,7.38,428.66,83,90.00,193.32,518.66,200.70,false,false
2,4,"menu changes with the seasons ensuring fresh and flavorful dishes. Reservations are a must due to its popularity and limited seating.",12.00,24.48,434.72,133,108.00,210.42,542.72,234.90,false,false
2,5,"• Chez Etienne (Marseille): Known for its simple yet delicious pizzas and grilled meats",11.96,7.38,442.39,87,90.00,252.60,532.39,259.98,false,false
2,6,"this family-owned restaurant is a local favorite. The lively atmosphere and hearty portions make it a great spot for a casual meal.",12.00,24.48,406.58,131,108.00,269.70,514.58,294.18,false,false
2,7,"• Le Bistrot du Paradou (Paradou): A charming bistro oﬀering a daily fixed menu with hearty Provençal dishes at reasonable prices. The warm welcoming environment and generous servings make it a must-visit.",11.98,41.58,447.61,205,90.00,311.88,537.61,353.46,false,false
2,8,"• Le Comptoir du Marché (Nice): This bistro oﬀers a variety of traditional French dishes at aﬀordable prices. The cozy atmosphere and friendly staﬀ make it a great spot for a casual meal.",11.98,41.58,444.80,187,90.00,371.16,534.80,412.74,false,false
2,9,"• Le Petit Nice (Marseille): A budget-friendly option oﬀering a variety of seafood dishes.",11.96,7.38,449.53,90,90.00,430.44,539.53,437.82,false,false
2,10,"The relaxed setting and fresh ingredients make it a popular choice.",12.00,7.38,333.37,67,108.00,447.54,441.37,454.92,false,false
2,11,"• Le Café de Turin (Nice): Known for its seafood this café oﬀers a variety of aﬀordable",11.96,7.38,439.69,87,90.00,472.68,529.69,480.06,false,false
2,12,"dishes in a lively setting. The fresh oysters are a must-try.",12.00,7.38,286.27,61,108.00,489.78,394.27,497.16,false,false
2,13,"• Le Panier (Marseille): A casual eatery oﬀering a variety of Mediterranean dishes at reasonable prices. The outdoor seating and friendly service make it a great spot for a relaxed meal.",11.98,41.58,441.56,186,90.00,514.86,531.56,556.44,false,false
2,14,"• Le Bistrot Gourmand (Cannes): This bistro oﬀers a variety of traditional French dishes at aﬀordable prices. The cozy atmosphere and friendly staﬀ make it a great spot for a casual meal.",11.98,41.58,445.10,187,90.00,574.14,535.10,615.72,false,false
2,15,"• Le Petit Pontoise (Paris): A charming bistro oﬀering a variety of traditional French",11.95,7.38,425.54,86,90.00,633.42,515.54,640.80,false,false
2,16,"dishes at reasonable prices. The cozy atmosphere and friendly service make it a great spot for a casual meal.",12.00,24.48,427.28,109,108.00,650.52,535.28,675.00,false,false
2,17,"",12.00,8.19,3.34,0,72.00,692.70,75.34,700.89,false,false
2,18,"",12.00,7.38,2.77,0,216.00,692.70,218.77,700.08,false,false
3,0,"Family-Friendly Restaurants",12.00,7.39,148.78,27,72.00,83.88,220.78,91.27,true,false
3,1,"• Club 55 (Saint-Tropez): This iconic beach club oﬀers a relaxed family-friendly atmosphere with a menu featuring fresh seafood and Mediterranean dishes. The beachside location and casual vibe make it perfect for families.",11.98,41.58,420.44,222,90.00,108.90,510.44,150.48,false,false
3,2,"• Le Safari (Nice): Located in the heart of the old town this restaurant oﬀers a diverse menu with options for both adults and children. The lively setting and outdoor seating make it a great spot for a family meal.",11.99,41.58,449.30,215,90.00,168.18,539.30,209.76,false,false
3,3,"• La Table du Marché (Saint-Rémy-de-Provence): A welcoming restaurant with a varied",11.95,7.38,448.81,83,90.00,227.46,538.81,234.84,false,false
3,4,"menu that includes kid-friendly options and fresh local ingredients. The charming setting and friendly staﬀ ensure a pleasant dining experience for families.",12.00,24.48,410.17,157,108.00,244.56,518.17,269.04,false,false
3,5,"• Le Grill (Decize): A family-friendly restaurant oﬀering a variety of grilled meats and classic French dishes in a casual setting. The relaxed atmosphere and extensive menu cater to all ages.",11.99,41.58,445.27,192,90.00,286.74,535.27,328.32,false,false
3,6,"• Le Jardin de Benjamin (Lorgues): This restaurant oﬀers a variety of dishes made with fresh local ingredients. The outdoor seating and kid-friendly menu make it a great spot for families.",11.98,41.58,441.49,188,90.00,346.02,531.49,387.60,false,false
3,7,"• Le Petit Jardin (Montpellier): A family-friendly restaurant oﬀering a variety of",11.95,7.38,403.34,82,90.00,405.36,493.34,412.74,false,false
3,8,"Mediterranean dishes. The outdoor seating and relaxed atmosphere make it a great spot for a family meal.",12.00,24.48,418.52,104,108.00,422.46,526.52,446.94,false,false
3,9,"• Le Café de la Plage (Arcachon): This beachfront café oﬀers a variety of seafood dishes and kid-friendly options. The relaxed setting and beautiful views make it a great spot for families.",11.98,41.58,446.42,189,90.00,464.64,536.42,506.22,false,false
3,10,"• Le Petit Nice (Marseille): A family-friendly restaurant oﬀering a variety of seafood",11.95,7.38,426.13,86,90.00,523.92,516.13,531.30,false,false
3,11,"dishes. The relaxed setting and fresh ingredients make it a popular choice.",12.00,7.38,370.33,75,108.00,541.02,478.33,548.40,false,false
3,12,"• Le Jardin des Sens (Montpellier): This restaurant oﬀers a variety of dishes made with fresh local ingredients. The outdoor seating and kid-friendly menu make it a great spot for families.",11.98,41.58,440.29,189,90.00,566.10,530.29,607.68,false,false
3,13,"• Le Café des Arts (Nice): A family-friendly café oﬀering a variety of dishes and kid- friendly options. The relaxed setting and friendly service make it a great spot for a family meal.",11.98,41.58,426.55,185,90.00,625.38,516.55,666.96,false,false
3,14,"",12.00,8.19,3.34,0,72.00,684.72,75.34,692.91,false,false
3,15,"",12.00,7.38,2.77,0,216.00,684.72,218.77,692.10,false,false
4,0,"Upscale Restaurants",12.00,7.39,108.22,19,72.00,83.88,180.22,91.27,true,false
4,1,"• AM by Alexandre Mazzia (Marseille): A two-Michelin-starred restaurant oﬀering a fine-dining experience with innovative dishes inspired by Mediterranean flavors. The artistic presentation and unique flavor combinations make it a culinary adventure.",11.98,41.58,442.03,249,90.00,108.90,532.03,150.48,false,false
4,2,"• Le Mirazur (Menton): Ranked among the world's best restaurants Le Mirazur oﬀers a",11.95,7.38,444.97,83,90.00,168.18,534.97,175.56,false,false
4,3,"unique dining experience with a focus on fresh local ingredients and innovative dishes. The stunning views of the Mediterranean add to the allure.",12.00,24.48,399.49,146,108.00,185.28,507.49,209.76,false,false
4,4,"• La Chèvre d'Or (Èze): Located in a medieval village this two-Michelin-starred",11.95,7.38,407.29,79,90.00,227.46,497.29,234.84,false,false
4,5,"restaurant serves refined Provençal cuisine with breathtaking views of the French Riviera. The elegant setting and impeccable service make it a memorable dining experience.",12.00,41.58,407.12,172,108.00,244.56,515.12,286.14,false,false
4,6,"• Hostellerie de Jérôme (La Turbie): A two-Michelin-starred restaurant oﬀering",11.95,7.38,405.49,78,90.00,303.84,495.49,311.22,false,false
4,7,"traditional French fare created from the very best local ingredients. The historic setting and exquisite dishes make it a must-visit for food enthusiasts.",12.00,24.48,432.50,154,108.00,320.94,540.50,345.42,false,false
4,8,"• Le Louis XV - Alain Ducasse (Monaco): A three-Michelin-starred restaurant oﬀering an",11.95,7.38,451.39,86,90.00,363.12,541.39,370.50,false,false
4,9,"opulent dining experience with a menu that celebrates the flavors of the Mediterranean. The lavish decor and exceptional service make it a dining experience to remember.",12.00,41.58,424.33,169,108.00,380.22,532.33,421.80,false,false
4,10,"• La Vague d'Or (Saint-Tropez): A three-Michelin-starred restaurant located in the",11.95,7.38,419.95,82,90.00,439.56,509.95,446.94,false,false
4,11,"luxurious Résidence de la Pinède oﬀering exquisite dishes inspired by the sea and the land. The serene setting and culinary excellence make it a top choice for fine dining.",12.00,24.48,429.91,172,108.00,456.60,537.91,481.08,false,false
4,12,"• Le Petit Nice Passedat (Marseille): A three-Michelin-starred restaurant oﬀering",11.95,7.38,412.21,81,90.00,498.84,502.21,506.22,false,false
4,13,"exquisite seafood dishes and stunning views of the Mediterranean. The creative menu and elegant ambiance make it a standout dining destination.",12.00,24.48,429.32,143,108.00,515.94,537.32,540.42,false,false
4,14,"• La Colombe d'Or (Saint-Paul-de-Vence): A historic restaurant and hotel that has hosted famous artists and celebrities oﬀering a luxurious dining experience with a focus on Provençal cuisine. The art-filled setting and gourmet dishes make it a unique experience.",11.99,58.68,446.71,263,90.00,558.12,536.71,616.80,false,false
4,15,"• Le Figuier de Saint-Esprit (Antibes): A Michelin-starred restaurant oﬀering a variety of dishes made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",11.99,41.58,446.53,214,90.00,634.50,536.53,676.08,false,false
5,0,"• Le Park 45 (Cannes): A Michelin-starred restaurant oﬀering a variety of dishes made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",11.98,41.58,446.77,197,90.00,83.76,536.77,125.34,false,false
5,1,"",12.00,8.19,3.34,0,72.00,143.04,75.34,151.23,false,false
5,2,"",12.00,7.38,2.77,0,216.00,143.04,218.77,150.42,false,false
6,0,"Luxurious Restaurants",12.00,7.39,118.42,21,72.00,83.88,190.42,91.27,true,false
6,1,"• Le Louis XV - Alain Ducasse (Monaco): A three-Michelin-starred restaurant oﬀering an",11.95,7.38,451.39,86,90.00,108.90,541.39,116.28,false,false
6,2,"opulent dining experience with a menu that celebrates the flavors of the Mediterranean. The lavish decor and exceptional service make it a dining experience to remember.",12.00,41.58,424.33,169,108.00,126.00,532.33,167.58,false,false
6,3,"• La Vague d'Or (Saint-Tropez): A three-Michelin-starred restaurant located in the",11.95,7.38,419.95,82,90.00,185.28,509.95,192.66,false,false
6,4,"luxurious Résidence de la Pinède oﬀering exquisite dishes inspired by the sea and the land. The serene setting and culinary excellence make it a top choice for fine dining.",12.00,24.48,429.91,172,108.00,202.38,537.91,226.86,false,false
6,5,"• Le Petit Nice Passedat (Marseille): A three-Michelin-starred restaurant oﬀering",11.95,7.38,412.21,81,90.00,244.56,502.21,251.94,false,false
6,6,"exquisite seafood dishes and stunning views of the Mediterranean. The creative menu and elegant ambiance make it a standout dining destination.",12.00,24.48,429.32,143,108.00,261.66,537.32,286.14,false,false
6,7,"• La Colombe d'Or (Saint-Paul-de-Vence): A historic restaurant and hotel that has hosted famous artists and celebrities oﬀering a luxurious dining experience with a focus on Provençal cuisine. The art-filled setting and gourmet dishes make it a unique experience.",11.99,58.68,446.71,263,90.00,303.84,536.71,362.52,false,false
6,8,"• Le Cap (Saint-Jean-Cap-Ferrat): A Michelin-starred restaurant oﬀering a variety of",11.95,7.38,427.81,84,90.00,380.22,517.81,387.60,false,false
6,9,"dishes made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",12.00,24.48,426.31,123,108.00,397.32,534.31,421.80,false,false
6,10,"• Le Chantecler (Nice): A Michelin-starred restaurant oﬀering a variety of dishes made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",11.98,41.52,446.77,198,90.00,439.56,536.77,481.08,false,false
6,11,"• Le Figuier de Saint-Esprit (Antibes): A Michelin-starred restaurant oﬀering a variety of dishes made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",11.99,41.58,446.53,214,90.00,498.84,536.53,540.42,false,false
6,12,"• Le Park 45 (Cannes): A Michelin-starred restaurant oﬀering a variety of dishes made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",11.98,41.58,446.77,197,90.00,558.12,536.77,599.70,false,false
6,13,"• Le Jardin des Sens (Montpellier): A Michelin-starred restaurant oﬀering a variety of dishes made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",11.98,41.58,444.31,210,90.00,617.40,534.31,658.98,false,false
6,14,"• Le Petit Nice (Marseille): A Michelin-starred restaurant oﬀering a variety of dishes",11.95,7.38,427.09,86,90.00,676.68,517.09,684.06,false,false
6,15,"made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",12.00,24.48,431.95,116,108.00,693.78,539.95,718.26,false,false
7,0,"• La Villa Madie (Cassis): A two-Michelin-starred restaurant oﬀering a variety of dishes inspired by the Mediterranean. The stunning views and exceptional service make it a top choice for luxurious dining.",11.99,41.58,443.29,205,90.00,83.76,533.29,125.34,false,false
7,1,"• Le Clos des Sens (Annecy): A three-Michelin-starred restaurant oﬀering a variety of dishes made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",11.98,41.58,444.31,209,90.00,143.04,534.31,184.62,false,false
7,2,"• Le Pavillon Ledoyen (Paris): A three-Michelin-starred restaurant oﬀering a variety of dishes made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",11.98,41.58,444.31,211,90.00,202.32,534.31,243.90,false,false
7,3,"• Le Pré Catelan (Paris): A three-Michelin-starred restaurant oﬀering a variety of dishes made with fresh local ingredients. The elegant setting and exceptional service make it a top choice for fine dining.",11.99,41.52,449.95,206,90.00,261.66,539.95,303.18,false,false
7,4,"",12.00,8.19,3.34,0,72.00,320.94,75.34,329.13,false,false
7,5,"",12.00,7.38,2.77,0,216.00,320.94,218.77,328.32,false,false
8,0,"Hotels",12.00,7.39,36.34,6,72.00,83.88,108.34,91.27,true,false
8,1,"Budget-Friendly Hotels",12.00,7.39,122.98,22,72.00,109.02,194.98,116.41,true,false
8,2,"• Ibis Budget Nice Californie Lenval (Nice): A budget-friendly hotel oﬀering comfortable",11.96,7.38,450.19,88,90.00,133.98,540.19,141.36,false,false
8,3,"rooms and easy access to the beach and city center. The modern amenities and convenient location make it a great choice for budget-conscious travelers.",12.00,24.48,397.33,151,108.00,151.08,505.33,175.56,false,false
8,4,"• Hotel Le Saint Paul (Nice): A charming hotel located in a historic building oﬀering",11.95,7.38,428.84,85,90.00,193.32,518.84,200.70,false,false
8,5,"aﬀordable rates and beautiful views of the Mediterranean. The cozy rooms and friendly service make it a pleasant stay.",12.00,24.48,395.53,118,108.00,210.42,503.53,234.90,false,false
8,6,"• Hotel des Arts (Montpellier): A budget-friendly hotel located in the heart of",11.95,7.38,397.33,79,90.00,252.60,487.33,259.98,false,false
8,7,"Montpellier oﬀering comfortable rooms and easy access to the city's attractions. The artistic decor and central location make it a popular choice.",12.00,24.48,425.90,146,108.00,269.70,533.90,294.18,false,false
8,8,"• Hotel Le Mistral (Marseille): A budget-friendly hotel oﬀering simple clean rooms and a convenient location near the Old Port. The friendly staﬀ and aﬀordable rates make it a good option for travelers on a budget.",11.98,41.58,449.12,214,90.00,311.88,539.12,353.46,false,false
8,9,"• Hotel Azur (Nice): A budget-friendly hotel oﬀering comfortable rooms and easy",11.95,7.38,418.27,79,90.00,371.16,508.27,378.54,false,false
8,10,"access to the beach and city center. The modern amenities and convenient location make it a great choice for budget-conscious travelers.",12.00,24.48,417.55,136,108.00,388.26,525.55,412.74,false,false
8,11,"• Hotel de la Paix (Marseille): A budget-friendly hotel oﬀering simple clean rooms and a convenient location near the Old Port. The friendly staﬀ and aﬀordable rates make it a good option for travelers on a budget.",11.98,41.58,449.12,214,90.00,430.44,539.12,472.02,false,false
8,12,"• Hotel du Palais (Montpellier): A budget-friendly hotel located in the heart of",11.95,7.38,400.87,80,90.00,489.78,490.87,497.16,false,false
8,13,"Montpellier oﬀering comfortable rooms and easy access to the city's attractions. The artistic decor and central location make it a popular choice.",12.00,24.42,425.90,146,108.00,506.88,533.90,531.30,false,false
8,14,"• Hotel de la Mer (Nice): A budget-friendly hotel oﬀering comfortable rooms and easy access to the beach and city center. The modern amenities and convenient location make it a great choice for budget-conscious travelers.",11.98,41.58,442.03,221,90.00,549.06,532.03,590.64,false,false
8,15,"• Hotel de la Plage (Marseille): A budget-friendly hotel oﬀering simple clean rooms and a convenient location near the Old Port. The friendly staﬀ and aﬀordable rates make it a good option for travelers on a budget.",11.99,41.58,451.03,215,90.00,608.34,541.03,649.92,false,false
8,16,"• Hotel de la Gare (Montpellier): A budget-friendly hotel located in the heart of",11.95,7.38,407.53,81,90.00,667.62,497.53,675.00,false,false
8,17,"Montpellier oﬀering comfortable rooms and easy access to the city's attractions. The artistic decor and central location make it a popular choice.",12.00,24.48,425.90,146,108.00,684.72,533.90,709.20,false,false
9,0,"Family-Friendly Hotels",12.00,7.39,120.76,22,72.00,83.88,192.76,91.27,true,false
9,1,"• Club Med Opio en Provence (Opio): A family-friendly resort oﬀering a wide range of activities for children and adults including sports entertainment and kids' clubs. The beautiful setting and all-inclusive amenities make it a hassle-free vacation spot.",11.98,41.58,445.46,254,90.00,108.90,535.46,150.48,false,false
9,2,"• Le Mas de Pierre (Saint-Paul-de-Vence): A luxurious family-friendly hotel oﬀering",11.95,7.38,426.13,83,90.00,168.18,516.13,175.56,false,false
9,3,"spacious rooms beautiful gardens and a variety of activities for children. The elegant decor and attentive service ensure a comfortable stay for families.",12.00,24.48,426.31,154,108.00,185.28,534.31,209.76,false,false
9,4,"• Hôtel Les Roches Rouges (Saint-Raphaël): A family-friendly hotel located on the beach oﬀering comfortable rooms a kids' club and a variety of water sports. The beachfront location and family-oriented amenities make it a great choice for a seaside vacation.",11.99,58.68,448.94,258,90.00,227.46,538.94,286.14,false,false
9,5,"• Château de Berne (Lorgues): A family-friendly hotel located on a vineyard oﬀering",11.95,7.38,433.93,83,90.00,303.84,523.93,311.22,false,false
9,6,"spacious rooms a kids' club and a variety of outdoor activities. The picturesque setting and family-friendly facilities make it a unique and enjoyable stay.",12.00,24.48,400.16,156,108.00,320.94,508.16,345.42,false,false
9,7,"• Hôtel Barrière Le Majestic (Cannes): A luxurious family-friendly hotel oﬀering spacious rooms beautiful gardens and a variety of activities for children. The elegant decor and attentive service ensure a comfortable stay for families.",11.99,41.58,452.17,235,90.00,363.12,542.17,404.70,false,false
9,8,"• Hôtel du Cap-Eden-Roc (Antibes): A luxurious family-friendly hotel oﬀering spacious rooms beautiful gardens and a variety of activities for children. The elegant decor and attentive service ensure a comfortable stay for families.",11.98,41.52,451.45,231,90.00,422.46,541.45,463.98,false,false
9,9,"• Hôtel Royal Riviera (Saint-Jean-Cap-Ferrat): A luxurious family-friendly hotel oﬀering spacious rooms beautiful gardens and a variety of activities for children. The elegant decor and attentive service ensure a comfortable stay for families.",11.99,41.58,445.81,243,90.00,481.74,535.81,523.32,false,false
9,10,"• Hôtel Le Negresco (Nice): A luxurious family-friendly hotel oﬀering spacious rooms",11.95,7.38,438.43,84,90.00,541.02,528.43,548.40,false,false
9,11,"beautiful gardens and a variety of activities for children. The elegant decor and attentive service ensure a comfortable stay for families.",12.00,24.48,396.08,139,108.00,558.12,504.08,582.60,false,false
9,12,"• Hôtel Martinez (Cannes): A luxurious family-friendly hotel oﬀering spacious rooms",11.95,7.38,435.61,83,90.00,600.30,525.61,607.68,false,false
9,13,"beautiful gardens and a variety of activities for children. The elegant decor and attentive service ensure a comfortable stay for families.",12.00,24.48,396.08,139,108.00,617.40,504.08,641.88,false,false
9,14,"• Hôtel de Paris (Monaco): A luxurious family-friendly hotel oﬀering spacious rooms",11.95,7.38,434.53,83,90.00,659.58,524.53,666.96,false,false
9,15,"beautiful gardens and a variety of activities for children. The elegant decor and attentive service ensure a comfortable stay for families.",12.00,24.48,396.08,139,108.00,676.68,504.08,701.16,false,false
10,0,"",12.00,8.19,3.34,0,72.00,83.76,75.34,91.95,false,false
10,1,"",12.00,7.38,2.77,0,216.00,83.76,218.77,91.14,false,false
11,0,"Upscale Hotels",12.00,7.39,80.14,14,72.00,83.88,152.14,91.27,true,false
11,1,"• Hotel Negresco (Nice): A historic five-star hotel located on the Promenade des Anglais oﬀering luxurious rooms and exceptional service. The opulent decor and prime location make it a landmark in Nice.",11.98,41.58,424.45,202,90.00,108.90,514.45,150.48,false,false
11,2,"• InterContinental Marseille - Hotel Dieu (Marseille): A luxurious hotel located in a",11.95,7.38,423.44,85,90.00,168.18,513.44,175.56,false,false
11,3,"beautifully restored 18th-century building oﬀering stunning views of the Old Port and the city. The elegant rooms and top-notch amenities make it a standout choice.",12.00,24.48,430.51,164,108.00,185.28,538.51,209.76,false,false
11,4,"• Hotel Martinez (Cannes): A luxurious hotel located on the Boulevard de la Croisette",11.95,7.38,441.02,85,90.00,227.46,531.02,234.84,false,false
11,5,"oﬀering elegant rooms a private beach and a Michelin-starred restaurant. The glamorous setting and high-end services make it a favorite among celebrities.",12.00,24.48,394.15,154,108.00,244.56,502.15,269.04,false,false
11,6,"• La Bastide de Gordes (Gordes): A luxurious hotel located in a historic building",11.95,7.38,411.86,81,90.00,286.74,501.86,294.12,false,false
11,7,"oﬀering elegant rooms beautiful gardens and stunning views of the Luberon Valley. The refined decor and serene atmosphere make it a perfect retreat.",12.00,24.48,421.93,148,108.00,303.84,529.93,328.32,false,false
11,8,"• Hôtel Barrière Le Majestic (Cannes): A luxurious hotel located on the Boulevard de la Croisette oﬀering elegant rooms a private beach and a Michelin-starred restaurant. The glamorous setting and high-end services make it a favorite among celebrities.",11.98,41.58,444.91,252,90.00,346.02,534.91,387.60,false,false
11,9,"• Hôtel du Cap-Eden-Roc (Antibes): A luxurious hotel located on the Boulevard de la Croisette oﬀering elegant rooms a private beach and a Michelin-starred restaurant. The glamorous setting and high-end services make it a favorite among celebrities.",11.98,41.58,441.01,248,90.00,405.36,531.01,446.94,false,false
11,10,"• Hôtel Royal Riviera (Saint-Jean-Cap-Ferrat): A luxurious hotel located on the",11.95,7.38,403.28,79,90.00,464.64,493.28,472.02,false,false
11,11,"Boulevard de la Croisette oﬀering elegant rooms a private beach and a Michelin- starred restaurant. The glamorous setting and high-end services make it a favorite among celebrities.",12.00,41.58,410.47,181,108.00,481.74,518.47,523.32,false,false
11,12,"• Hôtel Le Negresco (Nice): A luxurious hotel located on the Boulevard de la Croisette",11.95,7.38,443.83,86,90.00,541.02,533.83,548.40,false,false
11,13,"oﬀering elegant rooms a private beach and a Michelin-starred restaurant. The glamorous setting and high-end services make it a favorite among celebrities.",12.00,24.48,394.15,154,108.00,558.12,502.15,582.60,false,false
11,14,"• Hôtel Martinez (Cannes): A luxurious hotel located on the Boulevard de la Croisette",11.95,7.38,441.02,85,90.00,600.30,531.02,607.68,false,false
11,15,"oﬀering elegant rooms a private beach and a Michelin-starred restaurant. The glamorous setting and high-end services make it a favorite among celebrities.",12.00,24.48,394.15,154,108.00,617.40,502.15,641.88,false,false
11,16,"• Hôtel de Paris (Monaco): A luxurious hotel located on the Boulevard de la Croisette",11.95,7.38,439.94,85,90.00,659.58,529.94,666.96,false,false
11,17,"oﬀering elegant rooms a private beach and a Michelin-starred restaurant. The glamorous setting and high-end services make it a favorite among celebrities.",12.00,24.48,394.15,154,108.00,676.68,502.15,701.16,false,false
12,0,"Luxurious Hotels",12.00,7.39,90.34,16,72.00,83.88,162.34,91.27,true,false
12,1,"• Grand-Hôtel du Cap-Ferrat A Four Seasons Hotel (Saint-Jean-Cap-Ferrat): A luxurious hotel set on 7 hectares of Mediterranean gardens oﬀering elegant rooms a spa and a private beach. The exclusive setting and world-class amenities make it a top choice for luxury travelers.",11.99,58.68,451.27,274,90.00,108.90,541.27,167.58,false,false
12,2,"• Hôtel de Paris Monte-Carlo (Monaco): A luxurious hotel located in the heart of Monaco oﬀering opulent rooms a world-class spa and several Michelin-starred restaurants. The historic grandeur and exceptional service make it a premier destination.",11.99,58.68,420.91,246,90.00,185.28,510.91,243.96,false,false
12,3,"• Château Saint-Martin & Spa (Vence): A luxurious hotel set in a historic château oﬀering elegant rooms a Michelin-starred restaurant and a world-class spa. The tranquil setting and luxurious amenities make it a perfect getaway.",11.98,41.58,421.51,228,90.00,261.66,511.51,303.24,false,false
12,4,"• Airelles Château de la Messardière (Saint-Tropez): A luxurious hotel set in a historic",11.96,7.38,436.09,88,90.00,320.94,526.09,328.32,false,false
12,5,"château oﬀering elegant rooms beautiful gardens and stunning views of the Mediterranean. The refined ambiance and top-tier services make it a standout choice for luxury accommodations.",12.00,41.58,426.79,184,108.00,338.04,534.79,379.62,false,false
12,6,"• Hôtel du Cap-Eden-Roc (Antibes): A legendary hotel oﬀering luxurious rooms a private beach and a world-class spa. The stunning location and impeccable service make it a favorite among celebrities and discerning travelers.",11.98,41.58,434.42,223,90.00,397.32,524.42,438.90,false,false
12,7,"• La Réserve Ramatuelle (Ramatuelle): A luxurious hotel oﬀering elegant rooms a spa",11.95,7.38,445.45,83,90.00,456.60,535.45,463.98,false,false
12,8,"and breathtaking views of the Mediterranean. The serene setting and exceptional service make it a top choice for a relaxing retreat.",12.00,24.48,406.28,132,108.00,473.70,514.28,498.18,false,false
12,9,"• Villa La Coste (Le Puy-Sainte-Réparade): A luxurious hotel set in a vineyard oﬀering elegant rooms a spa and a Michelin-starred restaurant. The artistic ambiance and world-class amenities make it a unique and memorable stay.",11.98,41.58,440.47,226,90.00,515.94,530.47,557.52,false,false
12,10,"• Hôtel Hermitage Monte-Carlo (Monaco): A luxurious hotel oﬀering opulent rooms a world-class spa and several fine dining options. The historic charm and exceptional service make it a premier destination in Monaco.",11.98,41.58,443.41,214,90.00,575.22,533.41,616.80,false,false
12,11,"• Le Byblos (Saint-Tropez): A luxurious hotel oﬀering elegant rooms a spa and a vibrant",11.96,7.38,452.53,87,90.00,634.50,542.53,641.88,false,false
12,12,"nightlife scene. The glamorous setting and top-notch amenities make it a favorite among the jet set.",12.00,24.48,406.21,100,108.00,651.60,514.21,676.08,false,false
13,0,"• Hôtel Métropole Monte-Carlo (Monaco): A luxurious hotel oﬀering opulent rooms a world-class spa and several Michelin-starred restaurants. The refined elegance and exceptional service make it a top choice for luxury travelers.",11.98,41.58,443.47,227,90.00,83.76,533.47,125.34,false,false
13,1,"",12.00,8.59,3.34,0,72.00,143.16,75.34,151.75,true,false
13,2,"",12.00,7.39,2.74,0,216.00,143.16,218.74,150.55,true,false
14,0,"Conclusion",12.00,7.39,60.22,10,72.00,83.88,132.22,91.27,true,false
14,1,"The South of France oﬀers a wide range of dining and accommodation options to suit every budget and preference. Whether you're looking for budget-friendly eateries family-friendly spots upscale dining or luxurious experiences this guide will help you find the perfect places to eat and stay during your trip. From the vibrant cities of Nice and Marseille to the charming villages of Provence the South of France promises an unforgettable travel experience. Bon voyage!",12.00,92.82,469.81,468,72.00,108.90,541.81,201.72,false,false
14,2,"",12.00,7.38,2.77,0,72.00,219.48,74.77,226.86,false,false
